id,entry,info,POS,afreq,rfreq,cul_rfreq
139,가능,,NNG,12571,0.076,32.782
140,나라,,NNG,12568,0.076,32.858
141,못,,MAG,12565,0.076,32.934
142,관계__05,關係,NNG,12535,0.076,33.009
143,어머니,,NNG,12489,0.075,33.085
144,점__10,點,NNG,12475,0.075,33.16
145,다음__01,@~ 날,NNG,12330,0.074,33.234
146,길__01,@넓은 ~,NNG,12289,0.074,33.309
147,이것,,NP,12284,0.074,33.383
148,바로,,MAG,12279,0.074,33.457
149,동안__01,@방학 ~,NNG,12276,0.074,33.531
150,듯,,NNB,12262,0.074,33.605
151,서울,,NNP,12239,0.074,33.679
152,들__04,@손에 ~,VV,12008,0.072,33.751
153,모두,,MAG,11966,0.072,33.824
154,운동__02,運動,NNG,11956,0.072,33.896
155,손__01,@~으로 잡다,NNG,11953,0.072,33.968
156,및,,MAG,11948,0.072,34.04
157,시대__02,時代,NNG,11886,0.072,34.112
158,뿐,,NNB,11871,0.072,34.184
159,아버지,,NNG,11835,0.071,34.255
160,안__01,@~과 밖,NNG,11825,0.071,34.326
161,가지,,NNB,11643,0.07,34.397
162,이상__05,以上,NNG,11628,0.07,34.467
163,사랑__01,@어머니의 ~,NNG,11615,0.07,34.537
164,몇,,MM,11601,0.07,34.607
165,이러,,XR,11514,0.07,34.677
166,몸__01,$신체,NNG,11426,0.069,34.746
167,만나,,VV,11407,0.069,34.814
168,느끼__02,@슬픔을 ~,VV,11367,0.069,34.883
169,기업__01,企業,NNG,11332,0.068,34.951
170,저,,NP,11329,0.068,35.02
171,지역__03,地域,NNG,11308,0.068,35.088
172,국가__01,國家,NNG,11250,0.068,35.156
173,찾,,VV,11214,0.068,35.224
174,보이__02,$보게 하다(사동사),VV,11154,0.067,35.291
175,여성__01,女性,NNG,11065,0.067,35.358
176,내,,VX,11060,0.067,35.425
177,사이__01,@~가 넓다,NNG,11050,0.067,35.491
178,들어가__01,$enter,VV,11044,0.067,35.558
179,쓰__01,@글을 ~,VV,10985,0.066,35.624
180,내__02,@새싹을 ~,VV,10981,0.066,35.691
181,그런데,,MAJ,10978,0.066,35.757
182,교육,,NNG,10965,0.066,35.823
183,돈__01,@~을 벌다,NNG,10945,0.066,35.889
184,갖,,VV,10940,0.066,35.955
185,죽__01,@굶어 ~,VV,10933,0.066,36.021
186,역사__04,歷史,NNG,10927,0.066,36.087
187,선생__01,先生,NNG,10781,0.065,36.152
188,어디,,NP,10775,0.065,36.217
189,천,,NR,10754,0.065,36.282
190,여기,,NP,10646,0.064,36.346
191,모습__01,$생긴 모양,NNG,10637,0.064,36.411
192,새롭,,VA,10637,0.064,36.475
193,밝히,,VV,10620,0.064,36.539
194,지금__03,隻今,NNG,10563,0.064,36.603
195,처음,,NNG,10509,0.063,36.666
196,생활,,NNG,10505,0.063,36.73
197,대학__01,大學,NNG,10466,0.063,36.793
198,쓰__03,@도구를 ~,VV,10399,0.063,36.856
199,자리__01,$공간,NNG,10340,0.062,36.918
200,중요__02,重要,NNG,10202,0.062,36.98
